34200.742970,1,1000000,81,2397800,1
34200.842210,3,1000000,81,2397800,1
34200.915617,1,1000001,240,2404300,-1
34201.117027,1,1000002,235,2399800,1
34201.144708,5,1000003,51,2401300,-1
34201.240107,1,1000004,283,2399400,1
34201.313943,1,1000005,234,2401600,-1
34201.484385,1,1000006,114,2401700,-1
34201.602834,1,1000007,290,2400700,-1
34202.925045,1,1000008,226,2395500,1
34203.636364,1,1000009,107,2401600,-1
34203.736857,1,1000010,117,2399700,1
34203.916263,1,1000011,46,2401200,-1
34204.328301,4,1000009,26,2401600,-1
34204.358232,1,1000012,262,2402500,-1
34204.599432,1,1000013,152,2400100,-1
34204.761632,1,1000014,242,2400800,-1
34204.771640,5,1000015,80,2398200,1
34204.927664,1,1000016,126,2400800,-1
34205.238338,4,1000016,44,2400800,-1
34205.301849,1,1000017,215,2402300,-1
34205.598170,1,1000018,138,2398900,1
34205.613948,3,1000012,262,2402500,-1
34205.627629,1,1000019,41,2402000,-1
34205.703550,2,1000017,113,2402300,-1
34205.765721,1,1000020,195,2395800,1
34206.164056,1,1000021,205,2396100,1
34206.332335,1,1000022,101,2396200,1
34206.499194,5,1000023,227,2395700,1
34206.834789,1,1000024,119,2400000,-1
34206.846941,1,1000025,98,2400800,-1
34207.314927,1,1000026,31,2404400,-1
34207.586332,1,1000027,111,2397900,1
34208.238305,3,1000016,82,2400800,-1
34208.438534,1,1000028,46,2402100,-1
34208.685681,1,1000029,142,2398900,1
34209.294499,1,1000030,247,2394700,1
34209.335247,1,1000031,91,2398200,1
34209.517584,1,1000032,163,2397600,1
34209.540387,2,1000030,64,2394700,1
34209.575336,2,1000005,89,2401600,-1
34209.667803,1,1000033,193,2398600,1
34210.243294,1,1000034,254,2398100,1
34210.298063,1,1000035,79,2402700,-1
34210.625929,2,1000010,49,2399700,1
34210.630783,4,1000022,84,2396200,1
34210.811295,2,1000029,43,2398900,1
34211.001875,1,1000036,251,2396400,1
34211.131456,1,1000037,158,2400500,-1
34211.142495,4,1000019,20,2402000,-1
34211.516727,1,1000038,232,2398600,1
34211.828708,1,1000039,177,2402400,-1
34211.860437,1,1000040,210,2397100,1
34211.931188,1,1000041,191,2397800,1
34211.972984,1,1000042,107,2396900,1
34212.250900,1,1000043,295,2400200,-1
34212.609757,1,1000044,83,2399600,-1
34213.019346,1,1000045,191,2402200,-1
34213.042533,1,1000046,159,2402000,-1
34213.135547,1,1000047,35,2398200,1
34213.153282,1,1000048,237,2400100,-1
34213.159833,1,1000049,76,2397500,1
34213.707421,1,1000050,123,2398500,1
34213.754375,1,1000051,78,2398700,1
34214.085970,1,1000052,158,2400400,-1
34214.277039,5,1000053,236,2398800,1
34214.666565,1,1000054,255,2401300,-1
34214.833942,1,1000055,179,2395700,1
34215.247858,1,1000056,200,2398600,1
34215.317993,4,1000045,112,2402200,-1
34215.449370,1,1000057,170,2395100,1
34215.717748,1,1000058,55,2400400,-1
34215.834434,1,1000059,149,2394200,1
34216.463036,1,1000060,269,2398400,1
34216.492893,1,1000061,269,2398400,1
34216.757558,1,1000062,109,2400500,-1
34216.847378,1,1000063,279,2400900,-1
34217.692090,1,1000064,43,2399300,1
34217.957741,1,1000065,201,2398500,1
34218.120673,1,1000066,202,2400800,-1
34218.335634,1,1000067,216,2403400,-1
34218.756286,1,1000068,193,2401300,-1
34218.773872,2,1000032,62,2397600,1
34218.818079,2,1000008,79,2395500,1
34220.425945,1,1000069,211,2397000,1
34220.581793,1,1000070,64,2405300,-1
34220.609909,1,1000071,245,2401100,-1
34220.746645,2,1000057,52,2395100,1
34220.811664,1,1000072,177,2396100,1
34220.838598,5,1000073,197,2403800,-1
34221.369894,2,1000002,126,2399800,1
34221.491366,1,1000074,112,2398900,1
34221.503844,1,1000075,235,2402600,-1
34221.673115,1,1000076,86,2400500,-1
34221.840744,3,1000048,237,2400100,-1
34221.889896,1,1000077,62,2396700,1
34221.941011,1,1000078,103,2399000,1
34222.014527,1,1000079,229,2398700,1
34222.096531,1,1000080,44,2400600,-1
34222.115250,1,1000081,86,2400800,-1
34222.351097,1,1000082,292,2394900,1
34222.432043,1,1000083,28,2401400,-1
34223.065304,1,1000084,220,2405000,-1
34223.138788,1,1000085,159,2398800,1
34223.337263,2,1000038,97,2398600,1
34223.448300,1,1000086,290,2397300,1
34223.470552,1,1000087,286,2398100,1
34223.504503,1,1000088,127,2404000,-1
34223.660460,2,1000061,148,2398400,1
34223.750648,1,1000089,225,2401300,-1
34223.817826,1,1000090,230,2397400,1
34224.170434,1,1000091,139,2398400,1
34224.544969,1,1000092,72,2400400,-1
34224.817268,1,1000093,226,2394800,1
34225.046045,2,1000064,6,2399300,1
34225.325215,1,1000094,264,2395700,1
34225.661592,2,1000007,62,2400700,-1
34225.825652,1,1000095,66,2399100,1
34226.300772,1,1000096,232,2397400,1
34226.341309,1,1000097,151,2401600,-1
34226.574940,3,1000002,109,2399800,1
34226.606067,1,1000098,163,2399300,1
34227.171410,1,1000099,86,2398300,1
34227.211207,1,1000100,30,2400100,-1
34227.479635,1,1000101,124,2402400,-1
34227.936857,1,1000102,72,2401300,-1
34228.205088,1,1000103,225,2399400,1
34228.444914,2,1000028,19,2402100,-1
34229.090844,1,1000104,71,2396700,1
